epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,experiment
55,884.824,0.7507,0.44386,1.03558,0.99286,0.992,0.99141,0.78521,0.82079,0.30105,1.07697,0.000338534,0.000338534,0.000338534,Baseline
56,900.766,0.74666,0.42958,1.03496,0.99141,0.98929,0.99114,0.78586,0.81299,0.29202,1.05974,0.000335062,0.000335062,0.000335062,Baseline
57,917.076,0.74471,0.43439,1.04116,0.98845,0.99021,0.98909,0.78628,0.80198,0.29672,1.07049,0.00033159,0.00033159,0.00033159,Baseline
58,932.948,0.7381,0.42928,1.03435,0.99032,0.99272,0.99094,0.78812,0.79286,0.29355,1.05611,0.000328119,0.000328119,0.000328119,Baseline
59,948.797,0.74147,0.42823,1.0369,0.99204,0.99356,0.99264,0.79076,0.7983,0.29304,1.05086,0.000324647,0.000324647,0.000324647,Baseline
60,964.865,0.73501,0.42541,1.03117,0.98918,0.99103,0.98967,0.78818,0.80209,0.29569,1.08127,0.000321176,0.000321176,0.000321176,Baseline
61,981.328,0.7305,0.4234,1.02892,0.9909,0.99178,0.99159,0.79373,0.78298,0.29084,1.04479,0.000317704,0.000317704,0.000317704,Baseline
62,997.745,0.73103,0.42073,1.02999,0.99317,0.99363,0.99157,0.79207,0.79552,0.28952,1.07798,0.000314232,0.000314232,0.000314232,Baseline
63,1013.85,0.7288,0.4257,1.03154,0.98856,0.99015,0.98862,0.78318,0.80153,0.30068,1.11586,0.000310761,0.000310761,0.000310761,Baseline
64,1030.39,0.72238,0.41869,1.03163,0.98751,0.9902,0.98857,0.78782,0.79353,0.29847,1.09131,0.000307289,0.000307289,0.000307289,Baseline
65,1046.69,0.72069,0.41433,1.03082,0.99278,0.99322,0.99163,0.78818,0.8045,0.29598,1.09923,0.000303818,0.000303818,0.000303818,Baseline
66,1062.51,0.71887,0.41596,1.02993,0.99247,0.99219,0.99144,0.78925,0.79559,0.2907,1.08221,0.000300346,0.000300346,0.000300346,Baseline
67,1078.71,0.7107,0.41021,1.02151,0.99184,0.98953,0.98993,0.78534,0.80288,0.29862,1.10642,0.000296874,0.000296874,0.000296874,Baseline
68,1094.98,0.71346,0.41328,1.02385,0.99375,0.99477,0.99179,0.79129,0.79706,0.28496,1.08499,0.000293403,0.000293403,0.000293403,Baseline
69,1110.89,0.70778,0.40235,1.02143,0.99477,0.99443,0.99141,0.78948,0.81096,0.29028,1.08254,0.000289931,0.000289931,0.000289931,Baseline
70,1127.07,0.71416,0.41205,1.02515,0.99305,0.9937,0.99176,0.78851,0.7942,0.29196,1.08635,0.00028646,0.00028646,0.00028646,Baseline
71,1143.35,0.71086,0.40803,1.02913,0.99135,0.99365,0.99115,0.79051,0.79654,0.288,1.10046,0.000282988,0.000282988,0.000282988,Baseline
72,1159.79,0.70601,0.40209,1.02182,0.99077,0.99192,0.99135,0.79439,0.79716,0.28517,1.07902,0.000279516,0.000279516,0.000279516,Baseline
73,1176.05,0.70559,0.4079,1.02184,0.99092,0.99239,0.98913,0.7901,0.79135,0.28708,1.0894,0.000276045,0.000276045,0.000276045,Baseline
74,1192.4,0.70262,0.40464,1.02125,0.98918,0.99298,0.99062,0.7889,0.80127,0.28997,1.09905,0.000272573,0.000272573,0.000272573,Baseline
75,1208.62,0.70025,0.40751,1.02028,0.99214,0.99366,0.99049,0.78983,0.80194,0.28514,1.08704,0.000269102,0.000269102,0.000269102,Baseline
76,1225.06,0.69644,0.40247,1.01651,0.99482,0.99431,0.99151,0.79325,0.79702,0.28653,1.0903,0.00026563,0.00026563,0.00026563,Baseline
77,1241.12,0.69422,0.39725,1.0185,0.99333,0.99494,0.99118,0.79527,0.79179,0.28056,1.08483,0.000262158,0.000262158,0.000262158,Baseline
78,1257.41,0.69097,0.39925,1.00934,0.99174,0.99129,0.99213,0.78527,0.7998,0.28411,1.06902,0.000258687,0.000258687,0.000258687,Baseline
79,1273.74,0.68775,0.3928,1.00806,0.99187,0.99235,0.99146,0.78954,0.79577,0.28302,1.05987,0.000255215,0.000255215,0.000255215,Baseline
80,1290.01,0.6867,0.39204,1.01078,0.9946,0.99308,0.99143,0.7895,0.8079,0.29171,1.10459,0.000251744,0.000251744,0.000251744,Baseline
81,1306.39,0.68642,0.3893,1.00885,0.99238,0.99388,0.9914,0.79197,0.80081,0.27988,1.06756,0.000248272,0.000248272,0.000248272,Baseline
82,1322.66,0.68651,0.40019,1.01142,0.99219,0.99349,0.9923,0.78565,0.80647,0.28298,1.07895,0.0002448,0.0002448,0.0002448,Baseline
83,1339.11,0.6824,0.39286,1.00125,0.99073,0.99336,0.99127,0.79347,0.79083,0.27872,1.06891,0.000241329,0.000241329,0.000241329,Baseline
84,1354.82,0.67902,0.39269,1.00663,0.99165,0.99132,0.99208,0.78732,0.80428,0.28098,1.06684,0.000237857,0.000237857,0.000237857,Baseline
85,1371.05,0.68235,0.38636,1.01067,0.99268,0.99441,0.99137,0.79222,0.79457,0.2788,1.08476,0.000234386,0.000234386,0.000234386,Baseline
86,1387.44,0.67008,0.38359,1.00196,0.99462,0.99506,0.99238,0.79312,0.79602,0.28321,1.09754,0.000230914,0.000230914,0.000230914,Baseline
87,1403.88,0.67536,0.38515,1.01214,0.99326,0.99321,0.99204,0.78969,0.79844,0.28412,1.08641,0.000227442,0.000227442,0.000227442,Baseline
88,1419.66,0.6738,0.39472,1.00627,0.99297,0.99387,0.99171,0.78648,0.80993,0.28206,1.09596,0.000223971,0.000223971,0.000223971,Baseline
89,1435.8,0.66549,0.38195,1.00307,0.99291,0.99217,0.99134,0.7873,0.8022,0.28014,1.09246,0.000220499,0.000220499,0.000220499,Baseline
90,1451.88,0.66513,0.37902,1.00171,0.9904,0.99296,0.99109,0.78936,0.79779,0.28493,1.09322,0.000217028,0.000217028,0.000217028,Baseline
91,1468.21,0.66261,0.37437,0.99878,0.9905,0.99238,0.99079,0.79099,0.79405,0.27778,1.08221,0.000213556,0.000213556,0.000213556,Baseline
92,1484.48,0.65856,0.37777,0.9971,0.99093,0.99321,0.99064,0.78807,0.80165,0.27788,1.08418,0.000210084,0.000210084,0.000210084,Baseline
93,1500.63,0.66478,0.3869,1.00307,0.99141,0.99318,0.98967,0.78474,0.80965,0.28419,1.08868,0.000206613,0.000206613,0.000206613,Baseline
